Transaction_ID,Sender_account,Sender_age,Sender_is_elderly,Receiver_account,Receiver_age,Receiver_is_elderly,Amount,Date,Is_fraud,Sender_gender,Receiver_gender,Type_of_fraud,Method_of_contact,Loss,Time_of_day,Resolution_status
TXN-B8A7JQDO,597751693,50,0,331190783,44,0,70.41,2023-04-12,0,Female,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-ADGBM04Y,009399996,19,0,323119408,34,0,66.43,2023-12-08,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-1NGKX6AW,338352358,64,1,267467544,39,0,125.72,2023-11-05,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-1Y46WTZZ,408437181,80,1,318457352,21,0,87.12,2023-08-02,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-THQUA6SP,365323393,18,0,720112790,47,0,23.87,2023-10-03,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-OAFLKTAW,410760584,85,1,578909930,33,0,493.7,2023-07-23,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-U0KFIAD7,940215632,24,0,958970516,74,1,80.21,2023-07-22,0,Male,Female,Legitimate,Direct,0.0,Night,N/A
TXN-7RIZ2H4Q,958161300,34,0,857998797,39,0,366.85,2023-10-03,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-58D8T8VL,845420824,52,0,495246837,34,0,155.51,2023-03-27,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-7BTPDO7Y,828982963,55,0,597751693,50,0,68.69,2023-08-03,0,Female,Female,Legitimate,Direct,0.0,Night,N/A
TXN-2XPMU6NN,170042105,52,0,171894498,53,0,1294.04,2023-07-02,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-GSHXM42Y,184758720,89,1,949228268,54,0,135.86,2023-01-01,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-RQ8RTM4J,497348124,87,1,648737533,29,0,177.66,2023-07-10,1,Female,Male,Investment Fraud,Email,177.66,Afternoon,Reported
TXN-RWHO3U56,791779946,74,1,705436922,53,0,323.7,2023-04-21,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-5LG49FFQ,463837684,62,1,824450567,30,0,33.21,2023-07-21,1,Male,Female,Other,Other,33.21,Evening,Unreported
TXN-OTX8O7II,237456621,56,0,620927151,72,1,83.56,2023-12-24,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-RVHVC6T8,048337803,22,0,973097649,47,0,260.71,2023-11-02,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-7YFP3OHI,178303722,30,0,670108025,59,0,199.23,2023-01-03,0,Female,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-22TW1BYT,723408848,64,1,502856351,34,0,333.89,2023-02-17,1,Female,Female,Government Impersonation,In-Person,333.89,Afternoon,Unreported
TXN-LB3K5RUW,819150683,25,0,206986733,26,0,566.0,2023-07-27,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-3FEUY5BF,212564862,46,0,628255918,46,0,30.83,2023-06-04,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-UWFBQ2SY,407448196,79,1,253548261,20,0,1282.22,2023-08-28,0,Male,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-S5R2KU9D,603764446,71,1,994631208,90,1,287.81,2023-11-08,0,Female,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-GA4FEGYY,586823118,62,1,424076025,28,0,63.04,2023-08-21,1,Male,Male,Government Impersonation,In-Person,63.04,Night,Reported
TXN-SJFNL86O,499906879,44,0,366260635,49,0,622.66,2023-04-03,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-6V9MCJ1M,021812641,30,0,738507241,20,0,124.21,2023-11-06,0,Male,Female,Legitimate,Direct,0.0,Night,N/A
TXN-SQBBX5NW,991307112,80,1,363388455,39,0,93.42,2023-01-21,1,Female,Male,Tech Support Scam,Phone,93.42,Evening,Unreported
TXN-JSQXWO1E,867616964,28,0,988184409,40,0,295.12,2023-08-21,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-2EMAYB3P,290854268,79,1,299775766,29,0,124.67,2023-02-25,1,Female,Female,Investment Fraud,Email,124.67,Night,Unreported
TXN-E9H9Y449,627713347,55,0,137843584,61,1,248.94,2023-09-24,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-H3YRGHWZ,298760792,60,1,897478772,44,0,31.96,2023-02-21,1,Female,Female,Investment Fraud,Email,31.96,Night,Unreported
TXN-49V8AFNO,531833445,35,0,144171768,47,0,190.27,2023-09-04,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-89VWCSCF,338352358,64,1,720112790,47,0,408.01,2023-08-05,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-05Z0W809,089029013,20,0,229872698,63,1,164.15,2023-12-04,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-C3H5X4ZT,021912992,28,0,366260635,49,0,836.56,2023-04-29,0,Female,Female,Legitimate,Direct,0.0,Night,N/A
TXN-MJR211PV,338352358,64,1,839842599,32,0,45.88,2023-06-13,1,Male,Male,Romance Scam,Social Media,45.88,Afternoon,Unreported
TXN-RPP4XR1M,280340713,36,0,324142470,27,0,83.92,2023-02-11,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-AHOZLV48,825970419,74,1,998612044,29,0,169.95,2023-06-20,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-BJJAC9ON,896619255,73,1,623753913,60,1,687.03,2023-06-20,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-9KAT0LGC,246938494,76,1,162953189,25,0,252.42,2023-09-27,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-T8CWD1D1,494303705,90,1,868043303,38,0,880.47,2023-08-26,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-8YI038Z2,891566476,73,1,022882877,45,0,10.83,2023-04-03,1,Female,Female,Government Impersonation,In-Person,10.83,Morning,Reported
TXN-KWXFUHB7,902115118,41,0,063959284,63,1,282.06,2023-11-26,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-HB3Z30ZB,731448745,80,1,433311310,43,0,581.95,2023-10-24,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-A8HHN6QM,487845604,73,1,928537643,53,0,181.9,2023-04-28,0,Female,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-8MP5CIA9,226567963,30,0,808214179,60,1,135.35,2023-08-28,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-SSUY6KAZ,980926683,56,0,703201721,62,1,154.02,2023-04-03,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-OWLAVHXB,591347116,60,1,034318206,36,0,362.43,2023-09-28,0,Female,Female,Legitimate,Direct,0.0,Night,N/A
TXN-0EH4UJ70,021812641,30,0,589343096,18,0,109.61,2023-12-04,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-0UF2228L,986125921,46,0,949228268,54,0,178.84,2023-05-26,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-BR1YVFNF,250957310,70,1,925602213,65,1,35.98,2023-05-26,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-6AIIX52I,409157429,76,1,805745462,20,0,939.93,2023-10-04,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-41COLBYR,431747414,78,1,237801619,30,0,601.02,2023-08-19,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-B8KKJWWE,513153089,22,0,087519602,53,0,20.05,2023-02-22,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-R8VNRPJY,754041955,84,1,502856351,34,0,47.29,2023-05-22,1,Male,Female,Government Impersonation,In-Person,47.29,Morning,Unreported
TXN-7Y7M8MRY,026409494,55,0,438656494,59,0,86.64,2023-04-09,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-N0ABCZ7E,063196678,62,1,419744974,22,0,582.94,2023-10-13,1,Female,Female,Tech Support Scam,Phone,582.94,Evening,Reported
TXN-K16EMTKP,675996843,75,1,589273030,24,0,340.4,2023-05-01,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-L8BJXR6V,293431670,29,0,505988121,29,0,213.83,2023-10-28,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-36MHCCLX,034318206,36,0,285756779,52,0,100.32,2023-05-24,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-MQ6GXLUN,909496944,60,1,178303722,30,0,281.17,2023-04-15,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-3FHRN8YN,401957212,47,0,531833445,35,0,211.88,2023-10-05,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-M3TD7URU,929363301,41,0,929091906,32,0,84.2,2023-02-09,0,Female,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-8XAXCFHC,648737533,29,0,191108532,36,0,42.13,2023-08-02,0,Male,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-0EXEHK7G,767162966,50,0,011382761,24,0,1039.71,2023-12-02,0,Male,Female,Legitimate,Direct,0.0,Night,N/A
TXN-QIKQUGBG,632832764,38,0,640362057,45,0,352.34,2023-06-10,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-Q5IMLX6V,307798268,31,0,866984448,44,0,76.62,2023-07-02,0,Female,Female,Legitimate,Direct,0.0,Night,N/A
TXN-OVB1ZJ39,586582861,83,1,509482316,43,0,79.66,2023-04-24,1,Male,Female,Other,Other,79.66,Morning,Unreported
TXN-EKOJZCDU,906005353,72,1,739908273,67,1,552.29,2023-08-02,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-TEY8UKNR,013327652,80,1,578280546,58,0,74.67,2023-02-26,0,Male,Female,Legitimate,Direct,0.0,Night,N/A
TXN-RWIXZ2C9,061062915,83,1,146706210,29,0,77.28,2023-12-11,1,Female,Male,Other,Other,77.28,Morning,Unreported
TXN-KBWIFD8W,339715135,76,1,789807316,30,0,84.3,2023-09-06,1,Male,Female,Investment Fraud,Email,84.3,Afternoon,Under Investigation
TXN-B302QD2E,100585092,85,1,823050912,54,0,37.56,2023-11-26,0,Female,Male,Legitimate,Direct,0.0,Night,N/A
TXN-H1BSR1OV,467609283,25,0,303533494,23,0,214.63,2023-10-21,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-J27ES0RG,452450815,54,0,943881649,45,0,74.35,2023-06-26,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-FAGT4CA8,253548261,20,0,482695135,41,0,85.67,2023-06-12,0,Male,Male,Legitimate,Direct,0.0,Night,N/A
TXN-JOCYTJIF,298760792,60,1,149578017,41,0,209.14,2023-08-07,0,Female,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-SL0LQMHH,512947770,52,0,694101194,48,0,90.0,2023-08-14,0,Female,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-PUDEEH2C,628694430,88,1,778583839,41,0,38.65,2023-07-19,1,Male,Female,Romance Scam,Social Media,38.65,Evening,Under Investigation
TXN-W5HPTMTK,868607278,46,0,576757257,58,0,36.38,2023-11-20,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-PW69OIUR,252785565,27,0,845420824,52,0,57.23,2023-04-09,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-G7K19EVQ,700816232,37,0,807248900,80,1,19.56,2023-03-06,0,Female,Female,Legitimate,Direct,0.0,Night,N/A
TXN-T21IJ3Q7,187860433,31,0,270953851,65,1,66.46,2023-07-17,0,Female,Female,Legitimate,Direct,0.0,Night,N/A
TXN-Y7JN3SVD,250817734,87,1,491122159,39,0,90.42,2023-04-16,0,Male,Female,Legitimate,Direct,0.0,Night,N/A
TXN-PLED0Z4Z,215289692,23,0,334310361,60,1,488.46,2023-07-18,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-EA4KPVMZ,548099690,74,1,773830248,30,0,341.08,2023-04-28,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-D93P8P70,230460134,19,0,401957212,47,0,120.99,2023-01-19,0,Male,Male,Legitimate,Direct,0.0,Night,N/A
TXN-0PJE7KF0,761038427,23,0,392541578,49,0,372.6,2023-07-27,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-YD778Y6U,280995032,24,0,104848421,87,1,99.04,2023-02-10,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-KL6T6RXD,287665249,71,1,069747287,49,0,65.65,2023-04-21,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-16UJKAE9,473309605,24,0,279304807,39,0,87.9,2023-01-06,0,Male,Male,Legitimate,Direct,0.0,Night,N/A
TXN-0WAM3C7K,913398903,61,1,455340903,59,0,85.67,2023-08-22,0,Female,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-KI6E2QHP,328696198,25,0,730627019,59,0,39.16,2023-05-04,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-K85IAI81,603632297,87,1,742976666,40,0,77.15,2023-04-15,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-N1YIZJDI,408083673,26,0,966274018,36,0,118.56,2023-01-31,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-2RZRX1RA,469574364,42,0,920909014,29,0,35.12,2023-11-06,0,Female,Male,Legitimate,Direct,0.0,Night,N/A
TXN-QZ093YCT,862393416,35,0,446002643,46,0,193.67,2023-10-22,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-ACIZN62E,381424119,49,0,029492780,68,1,92.76,2023-08-04,0,Male,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-FQNG89VB,868607278,46,0,078892576,59,0,252.35,2023-11-09,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-F0IFT14O,141529481,27,0,011382761,24,0,177.37,2023-03-19,0,Female,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-M9SMX38F,016846122,28,0,915122100,30,0,831.0,2023-01-15,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-SQUS4M05,489561518,47,0,708435606,22,0,405.42,2023-02-05,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-G1FJGBVY,101604502,67,1,408083673,26,0,21.93,2023-02-03,1,Male,Male,Investment Fraud,Email,21.93,Evening,Unreported
TXN-9A7B726E,652325257,32,0,995678970,53,0,178.54,2023-02-28,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-GW00JYJ2,812514914,70,1,200528037,62,1,488.42,2023-09-17,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-0RZ3TR8Q,369164906,61,1,973187337,19,0,152.62,2023-01-23,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-UXQ9NJC2,497348124,87,1,859851904,31,0,23.57,2023-02-14,1,Female,Female,Investment Fraud,Email,23.57,Evening,Unreported
TXN-KWX86Y4I,331989881,56,0,177777762,36,0,377.78,2023-02-22,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-R1Q7CGLO,987180220,18,0,717070802,31,0,403.86,2023-07-13,0,Male,Female,Legitimate,Direct,0.0,Night,N/A
TXN-J27JAA94,219610946,33,0,803099969,73,1,278.33,2023-07-29,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-GLWL7AU7,896226828,24,0,280995032,24,0,475.88,2023-11-02,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-J8CFA09W,682007818,55,0,135031070,89,1,376.54,2023-06-06,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-9A3G17N4,459209399,23,0,059165865,47,0,65.73,2023-10-30,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-TD8Y6C0S,596499669,21,0,898677788,63,1,138.38,2023-12-30,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-4ZN0MWMK,703201721,62,1,669143326,35,0,180.08,2023-07-16,1,Female,Male,Government Impersonation,In-Person,180.08,Evening,Reported
TXN-RD4MWPMI,800925830,71,1,761038427,23,0,32.14,2023-01-01,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-BIJVKI0B,363388455,39,0,232191390,80,1,241.46,2023-04-04,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-VJCR779P,451455977,68,1,828982963,55,0,568.08,2023-11-20,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-19QNFPL7,245378798,61,1,271874491,24,0,173.59,2023-08-27,1,Female,Male,Investment Fraud,Email,173.59,Night,Unreported
TXN-MHVKCXAL,505988121,29,0,773482077,62,1,309.6,2023-01-07,0,Female,Male,Legitimate,Direct,0.0,Morning,N/A
TXN-DHIC6V1Y,035467368,82,1,408059676,41,0,139.95,2023-10-15,1,Female,Male,Tech Support Scam,Phone,139.95,Night,Reported
TXN-2K0JJ4UG,682007818,55,0,556742829,62,1,101.9,2023-06-22,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-EIVZPYKU,500326438,49,0,958970516,74,1,390.05,2023-05-14,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-E1K9VGVM,550136331,41,0,502856351,34,0,170.01,2023-09-15,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-NFH4ZWW8,171894498,53,0,402486939,37,0,83.59,2023-09-10,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-7UYA7ZP8,726003955,32,0,073972420,42,0,448.75,2023-01-23,0,Female,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-18ILHGNM,925602213,65,1,931379756,80,1,71.99,2023-01-20,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-7DV8F39C,069747287,49,0,578280546,58,0,26.92,2023-12-24,0,Male,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-KAIWJWXY,790991777,64,1,235037646,34,0,385.95,2023-06-15,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-11IF24HY,433074125,56,0,167211829,44,0,238.83,2023-03-23,0,Male,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-C7EWP642,651911797,47,0,559260221,49,0,102.13,2023-07-24,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-WVW1PM77,077228245,19,0,838643439,61,1,530.94,2023-11-08,0,Male,Male,Legitimate,Direct,0.0,Evening,N/A
TXN-1XED6AWJ,877803188,43,0,596295870,39,0,329.21,2023-08-28,0,Male,Female,Legitimate,Direct,0.0,Night,N/A
TXN-28SSA28T,587405096,25,0,066082363,25,0,269.11,2023-11-21,0,Male,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-M1F3UNHH,446002643,46,0,678641645,32,0,48.62,2023-03-24,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-K82P5YRO,149532577,71,1,418532243,21,0,1334.38,2023-03-19,1,Female,Female,Romance Scam,Social Media,1334.38,Evening,Under Investigation
TXN-XBDYQIXY,192735734,25,0,209773243,56,0,40.87,2023-10-24,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
TXN-6M0WEPI3,626464884,43,0,525557080,58,0,45.68,2023-05-05,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-G1FBTWTW,493688426,88,1,578909930,33,0,164.0,2023-03-12,1,Male,Male,Tech Support Scam,Phone,164.0,Morning,Unreported
TXN-CDNH2E0Q,299471886,90,1,546119047,44,0,109.36,2023-08-09,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-5EES7VH8,004807155,46,0,263298393,61,1,46.01,2023-03-13,0,Female,Female,Legitimate,Direct,0.0,Evening,N/A
TXN-C020ZTX6,292751878,60,1,510677794,53,0,98.79,2023-10-01,0,Female,Male,Legitimate,Direct,0.0,Afternoon,N/A
TXN-LNTKPEZL,187860433,31,0,335702822,54,0,1666.29,2023-07-02,0,Female,Female,Legitimate,Direct,0.0,Afternoon,N/A
TXN-2HKA4MH0,836021998,64,1,902115118,41,0,457.04,2023-01-05,1,Female,Female,Government Impersonation,In-Person,457.04,Evening,Reported
TXN-TLVAJN23,077082500,20,0,705436922,53,0,187.47,2023-06-07,0,Male,Female,Legitimate,Direct,0.0,Morning,N/A
